epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9087,2.01943,3.17823,2.33434,0.54988,0.59807,0.60533,0.33489,1.76341,3.13818,2.38915,6.25e-05,6.25e-05,6.25e-05
2,116.683,1.62398,1.84366,1.77387,0.80611,0.45391,0.5113,0.33623,1.15362,3.27915,1.50853,0.000132055,0.000132055,0.000132055
3,171.87,1.27369,1.46196,1.47567,0.70958,0.88769,0.90593,0.65956,0.97265,2.36097,1.3219,0.00019567,0.00019567,0.00019567
4,227.853,1.0982,1.13729,1.32137,0.86016,0.91181,0.94263,0.66891,1.02555,1.22718,1.33368,0.000253345,0.000253345,0.000253345
5,285.453,1.04573,1.04879,1.30511,0.85103,0.95094,0.96218,0.69147,0.98126,1.12651,1.29103,0.00030508,0.00030508,0.00030508
6,342.317,1.12876,1.07145,1.33205,0.97395,0.92857,0.96898,0.69994,0.96213,1.10373,1.28913,0.000350875,0.000350875,0.000350875
7,397.17,1.13382,1.13221,1.36263,0.85791,0.96327,0.95257,0.63906,1.07677,1.15786,1.35439,0.00039073,0.00039073,0.00039073
8,450.922,1.12458,1.02775,1.34282,0.91062,0.96204,0.95462,0.65385,1.13552,1.17627,1.46896,0.000424645,0.000424645,0.000424645
9,504.51,1.09371,0.93646,1.31488,0.92578,0.90977,0.94909,0.65453,1.10338,1.24718,1.42919,0.00045262,0.00045262,0.00045262
10,559.376,1.1176,0.93252,1.33984,0.8145,0.88472,0.89359,0.59266,1.2146,1.23649,1.59572,0.000474655,0.000474655,0.000474655
11,613.938,1.03654,0.86201,1.27333,0.81894,0.90807,0.9068,0.63474,1.07024,1.35166,1.48371,0.00049075,0.00049075,0.00049075
12,668.132,1.07022,0.97399,1.3337,0.90936,0.90958,0.95303,0.67777,1.04617,1.16189,1.47727,0.000500905,0.000500905,0.000500905
13,722.593,1.12272,0.99707,1.33941,0.90634,0.90711,0.94813,0.64086,1.16133,1.03178,1.51287,0.00050512,0.00050512,0.00050512
14,778.21,1.03208,0.86976,1.28193,0.95176,0.95889,0.96596,0.68833,0.92785,0.84645,1.37095,0.000503395,0.000503395,0.000503395
15,838.504,1.10574,0.87429,1.32703,0.89695,0.95619,0.98064,0.70754,0.92936,0.87168,1.37826,0.00049573,0.00049573,0.00049573
16,893.936,0.78987,0.65939,1.19233,0.9606,0.94643,0.95823,0.70708,0.99141,0.7101,1.37186,0.000482125,0.000482125,0.000482125
17,948.784,0.74377,0.58516,1.17423,0.98691,0.93515,0.97591,0.74625,0.93095,0.73088,1.32973,0.000458,0.000458,0.000458
18,1006.02,0.68916,0.53194,1.11013,0.96339,0.93399,0.96265,0.74507,0.88706,0.71408,1.30016,0.0004085,0.0004085,0.0004085
19,1059.9,0.72366,0.54644,1.13343,0.94062,0.94488,0.95953,0.74062,0.93636,0.77456,1.35152,0.000359,0.000359,0.000359
20,1112.82,0.69645,0.52012,1.17489,0.96593,0.82563,0.96133,0.72666,0.91938,0.82154,1.32717,0.0003095,0.0003095,0.0003095
21,1166.14,0.67201,0.48528,1.08002,0.92726,0.94802,0.97005,0.73358,0.91197,0.68434,1.33014,0.00026,0.00026,0.00026
22,1219.09,0.68395,0.47575,1.13193,0.99083,0.93284,0.96726,0.74124,0.90172,0.58366,1.30789,0.0002105,0.0002105,0.0002105
23,1271.77,0.62142,0.4521,1.03657,0.98427,0.95773,0.96562,0.74681,0.89856,0.57689,1.29917,0.000161,0.000161,0.000161
24,1324.31,0.65522,0.45478,1.04568,0.98095,0.96079,0.96482,0.75458,0.86636,0.54051,1.27501,0.0001115,0.0001115,0.0001115
25,1377.05,0.60169,0.43084,1.04113,0.98115,0.96133,0.96458,0.76171,0.8535,0.52904,1.26697,6.2e-05,6.2e-05,6.2e-05
